id_hex wheel_hex sector pfeb tds_channel pad_channel x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 wheel id layer quad
0x7f68007000000000 0xA 4 0 86 17 -359.57 2054.13 7453.54 -514.74 2054.1 7453.49 -373.941 2135.55 7453.67 -535.054 2135.52 7453.61 10 9180588321431093248 0 0
0x7f68010000000000 0xA 4 0 87 16 -176.932 2054.16 7453.61 -359.57 2054.13 7453.54 -184.07 2135.58 7453.74 -373.941 2135.55 7453.67 10 9180588939906383872 0 0
0x7f68019000000000 0xA 4 0 88 15 2.93139 2054.19 7453.68 -176.932 2054.16 7453.61 2.91731 2135.61 7453.81 -184.07 2135.58 7453.74 10 9180589558381674496 0 0
0x7f68022000000000 0xA 4 0 89 14 182.795 2054.22 7453.75 2.93139 2054.19 7453.68 189.904 2135.64 7453.88 2.91731 2135.61 7453.81 10 9180590176856965120 0 0
0x7f6802b000000000 0xA 4 0 90 13 365.433 2054.26 7453.81 182.795 2054.22 7453.75 379.776 2135.68 7453.95 189.904 2135.64 7453.88 10 9180590795332255744 0 0
0x7f68034000000000 0xA 4 0 91 12 516.603 2054.28 7453.87 365.433 2054.26 7453.81 536.889 2135.7 7454.01 379.776 2135.68 7453.95 10 9180591413807546368 0 0
0x7f68007800000000 0xA 4 0 92 11 -373.941 2135.55 7453.67 -535.054 2135.52 7453.61 -388.312 2216.96 7453.8 -555.368 2216.94 7453.74 10 9180588355790831616 0 0
0x7f68010800000000 0xA 4 0 93 10 -184.07 2135.58 7453.74 -373.941 2135.55 7453.67 -191.207 2217.0 7453.87 -388.312 2216.96 7453.8 10 9180588974266122240 0 0
0x7f68019800000000 0xA 4 0 94 9 2.91731 2135.61 7453.81 -184.07 2135.58 7453.74 2.90322 2217.03 7453.94 -191.207 2217.0 7453.87 10 9180589592741412864 0 0
0x7f68022800000000 0xA 4 0 95 8 189.904 2135.64 7453.88 2.91731 2135.61 7453.81 197.013 2217.07 7454.02 2.90322 2217.03 7453.94 10 9180590211216703488 0 0
0x7f6802b800000000 0xA 4 0 96 7 379.776 2135.68 7453.95 189.904 2135.64 7453.88 394.118 2217.1 7454.09 197.013 2217.07 7454.02 10 9180590829691994112 0 0
0x7f68034800000000 0xA 4 0 97 6 536.889 2135.7 7454.01 379.776 2135.68 7453.95 557.175 2217.13 7454.15 394.118 2217.1 7454.09 10 9180591448167284736 0 0
0x7f68008000000000 0xA 4 0 98 5 -388.312 2216.96 7453.8 -555.368 2216.94 7453.74 -393.308 2245.27 7453.84 -562.432 2245.24 7453.78 10 9180588390150569984 0 0
